company,location,industry,total_laid_off,date,stage,state
CoverMyMeds,Columbus,Healthcare,800,29/03/23,Acquired,OH
Electronic Arts,SF Bay Area,Consumer,780,29/03/23,Post-IPO,CA
Shift,SF Bay Area,Transportation,358,29/03/23,Post-IPO,CA
Lucid Motors,SF Bay Area,Transportation,1300,28/03/23,Post-IPO,CA
Blue Nile,Seattle,Retail,119,28/03/23,Acquired,WA
AEye,SF Bay Area,Transportation,46,28/03/23,Post-IPO,CA
Rackspace,San Antonio,Data,275,27/03/23,Acquired,TX
Aspiration,Los Angeles,Finance,170,24/03/23,Unknown,CA
The Meet Group,New Hope,Consumer,788,24/03/23,Acquired,MN
Veeam,Columbus,Data,200,23/03/23,Acquired,OH
Indeed,Austin,HR,2200,22/03/23,Acquired,TX
Glassdoor,SF Bay Area,HR,140,22/03/23,Acquired,CA
Roofstock,SF Bay Area,Real Estate,260,22/03/23,Series E,CA
Marvell,SF Bay Area,Hardware,320,21/03/23,Post-IPO,CA
Expedia,Seattle,Travel,265,21/03/23,Post-IPO,WA
Grin,Sacramento,Marketing,83,21/03/23,Series B,CA
Amazon,Seattle,Retail,9000,20/03/23,Post-IPO,WA
Candor Technology,Atlanta,Real Estate,260,17/03/23,Unknown,GA
Coherent,SF Bay Area,Manufacturing,108,16/03/23,Post-IPO,CA
Course Hero,SF Bay Area,Education,42,16/03/23,Series C,CA
Leafly,Seattle,Retail,40,16/03/23,Post-IPO,WA
Bonusly,Boulder,HR,146,16/03/23,Series B,CO
Freshworks,SF Bay Area,Support,125,16/03/23,Post-IPO,CA
Klaviyo,Boston,Marketing,140,15/03/23,Unknown,MA
Boxed,New York City,Retail,32,15/03/23,Post-IPO,NY
Hometap,Boston,Real Estate,260,15/03/23,Unknown,MA
Meta,SF Bay Area,Consumer,10000,14/03/23,Post-IPO,CA
Fetch,Madison,Retail,100,14/03/23,Series E,WI
Anchorage Digital,SF Bay Area,Crypto,75,14/03/23,Series D,CA
Samsung,SF Bay Area,Hardware,30,14/03/23,Post-IPO,CA
Kaleidoscope,Minneapolis,Finance,15,14/03/23,Series A,MN
Gopuff,Philadelphia,Food,100,09/03/23,Series H,PA
Morning Brew,New York City,Media,40,09/03/23,Acquired,NY
Bonusly,Boulder,HR,146,09/03/23,Series B,CO
Neoleukin Therapeutics,Seattle,Healthcare,148,09/03/23,Post-IPO,WA
Toucan,Los Angeles,Education,69,09/03/23,Series A,CA
Appcues,Boston,Data,119,08/03/23,Series B,MA
Zwift,Los Angeles,Fitness,80,07/03/23,Series C,CA
