,company,state,location,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng
0,Clinc,Michigan,Ann Arbor,40.0,2020-04-09,32.0,125.0,85.0,Support,Series B,$59,2020,42.27756,-83.74088
2,SecureWorks,Georgia,Atlanta,300.0,2023-08-14,15.0,2000.0,1700.0,Security,Post-IPO,$83,2023,33.749,-84.38798
3,Calendly,Georgia,Atlanta,60.0,2023-07-26,10.0,600.0,540.0,Other,Series B,$351,2023,33.749,-84.38798
4,SecureWorks,Georgia,Atlanta,212.0,2023-02-07,9.0,2356.0,2144.0,Security,Post-IPO,$83,2023,33.749,-84.38798
5,Salesloft,Georgia,Atlanta,100.0,2023-02-07,10.0,1000.0,900.0,Sales,Acquired,$245,2023,33.749,-84.38798
6,Greenlight,Georgia,Atlanta,104.0,2023-01-12,21.0,495.0,391.0,Finance,Series D,$556,2023,33.749,-84.38798
7,Sunday,Georgia,Atlanta,90.0,2022-06-24,23.0,391.0,301.0,Finance,Series A,$124,2022,33.749,-84.38798
8,OneTrust,Georgia,Atlanta,950.0,2022-06-09,25.0,3800.0,2850.0,Security,Series C,$926,2022,33.749,-84.38798
9,Stord,Georgia,Atlanta,59.0,2022-06-02,8.0,738.0,679.0,Logistics,Series D,$325,2022,33.749,-84.38798
10,OneTrust,Georgia,Atlanta,150.0,2020-04-09,10.0,1500.0,1350.0,Legal,Series B,$410,2020,33.749,-84.38798
11,FullStory,Georgia,Atlanta,50.0,2024-01-09,10.0,500.0,450.0,Marketing,Unknown,$197,2024,33.749,-84.38798
12,Sana Benefits,Texas,Austin,73.0,2023-11-01,50.0,146.0,73.0,HR,Series B,$106,2023,30.26715,-97.74306
13,Loop,Texas,Austin,19.0,2023-03-30,25.0,76.0,57.0,Finance,Series A,$24,2023,30.26715,-97.74306
14,Indeed,Texas,Austin,2200.0,2023-03-22,15.0,14667.0,12467.0,HR,Acquired,$5,2023,30.26715,-97.74306
15,Wheel,Texas,Austin,56.0,2023-02-01,28.0,200.0,144.0,Healthcare,Series C,$215,2023,30.26715,-97.74306
16,CS Disco,Texas,Austin,62.0,2023-01-19,9.0,689.0,627.0,Legal,Post-IPO,$233,2023,30.26715,-97.74306
17,Cart.com,Texas,Austin,25.0,2023-01-10,4.0,625.0,600.0,Retail,Unknown,$383,2023,30.26715,-97.74306
18,BigCommerce,Texas,Austin,180.0,2022-12-15,13.0,1385.0,1205.0,Retail,Post-IPO,$224,2022,30.26715,-97.74306
19,Khoros,Texas,Austin,120.0,2022-10-21,10.0,1200.0,1080.0,Sales,Private Equity …,$138,2022,30.26715,-97.74306
20,Wheel,Texas,Austin,35.0,2022-08-18,17.0,206.0,171.0,Healthcare,Series C,$215,2022,30.26715,-97.74306
21,Worksmith,Texas,Austin,30.0,2020-11-09,50.0,60.0,30.0,Retail,Unknown,$4,2020,30.26715,-97.74306
22,ScaleFactor,Texas,Austin,90.0,2020-06-23,90.0,100.0,10.0,Finance,Series C,$103,2020,30.26715,-97.74306
23,Arrive Logistics,Texas,Austin,75.0,2020-04-03,7.0,1071.0,996.0,Logistics,Series B,$35,2020,30.26715,-97.74306
24,uShip,Texas,Austin,65.0,2020-03-31,37.0,176.0,111.0,Logistics,Series D,$69,2020,30.26715,-97.74306
25,RigUp,Texas,Austin,120.0,2020-03-30,25.0,480.0,360.0,Energy,Series D,$423,2020,30.26715,-97.74306
26,OutboundEngine,Texas,Austin,52.0,2020-03-25,28.0,186.0,134.0,Marketing,Series C,$48,2020,30.26715,-97.74306
27,The Guild,Texas,Austin,38.0,2020-03-23,22.0,173.0,135.0,Travel,Series B,$36,2020,30.26715,-97.74306
28,Help.com,Texas,Austin,16.0,2020-03-16,100.0,16.0,0.0,Support,Seed,$6,2020,30.26715,-97.74306
30,Bumble,Texas,Austin,350.0,2024-02-27,30.0,1167.0,817.0,Consumer,Post-IPO,$313,2024,30.26715,-97.74306
32,MVPindex,Texas,Austin,12.0,2024-01-25,30.0,40.0,28.0,Marketing,Series B,$27,2024,30.26715,-97.74306
34,Dragos,Maryland,Baltimore,50.0,2023-06-06,9.0,556.0,506.0,Security,Series D,$364,2023,39.29038,-76.61219
35,Sonatype,Maryland,Baltimore,100.0,2023-05-09,14.0,714.0,614.0,Security,Acquired,$154,2023,39.29038,-76.61219
37,Dutchie,Colorado,Bend,50.0,2022-06-06,7.0,714.0,664.0,Other,Series D,$603,2022,44.05817,-121.31531
38,Micron,Idaho,Boise,2400.0,2023-02-17,5.0,48000.0,45600.0,Hardware,Post-IPO,$50,2023,43.6135,-116.20345
39,Micron,Idaho,Boise,4800.0,2023-01-01,10.0,48000.0,43200.0,Hardware,Post-IPO,$50,2023,43.6135,-116.20345
40,TripAdvisor,Massachusetts,Boston,125.0,2023-11-12,4.0,3125.0,3000.0,Travel,Post-IPO,$3,2023,42.35843,-71.05977
41,Bullhorn,Massachusetts,Boston,140.0,2023-10-19,9.0,1556.0,1416.0,Sales,Acquired,$32,2023,42.35843,-71.05977
42,Drift,Massachusetts,Boston,100.0,2023-09-07,25.0,400.0,300.0,Marketing,Acquired,$107,2023,42.35843,-71.05977
43,Rapid7,Massachusetts,Boston,470.0,2023-08-08,18.0,2611.0,2141.0,Security,Post-IPO,$89,2023,42.35843,-71.05977
44,Vendr,Massachusetts,Boston,100.0,2023-05-31,25.0,400.0,300.0,Other,Series B,$216,2023,42.35843,-71.05977
45,Akamai,Massachusetts,Boston,290.0,2023-05-09,3.0,9667.0,9377.0,Security,Post-IPO,$35,2023,42.35843,-71.05977
46,Brightcove,Massachusetts,Boston,70.0,2023-05-03,10.0,700.0,630.0,Marketing,Post-IPO,$145,2023,42.35843,-71.05977
47,Pear Therapeutics,Massachusetts,Boston,170.0,2023-04-07,92.0,185.0,15.0,Healthcare,Post-IPO,$409,2023,42.35843,-71.05977
48,iRobot,Massachusetts,Boston,85.0,2023-02-13,7.0,1214.0,1129.0,Consumer,Acquired,$30,2023,42.35843,-71.05977
49,DraftKings,Massachusetts,Boston,140.0,2023-02-01,4.0,3500.0,3360.0,Consumer,Post-IPO,$719,2023,42.35843,-71.05977
50,HubSpot,Massachusetts,Boston,500.0,2023-01-31,7.0,7143.0,6643.0,Marketing,Post-IPO,$100,2023,42.35843,-71.05977
51,Wayfair,Massachusetts,Boston,1750.0,2023-01-20,10.0,17500.0,15750.0,Retail,Post-IPO,$1700,2023,42.35843,-71.05977
52,Starry,Massachusetts,Boston,100.0,2023-01-18,24.0,417.0,317.0,Other,Post-IPO,$260,2023,42.35843,-71.05977
53,American Robotics,Massachusetts,Boston,50.0,2023-01-17,65.0,77.0,27.0,Other,Acquired,$92,2023,42.35843,-71.05977
54,Akili Labs,Massachusetts,Boston,46.0,2023-01-12,30.0,153.0,107.0,Healthcare,Post-IPO,$301,2023,42.35843,-71.05977
55,TechTarget,Massachusetts,Boston,60.0,2022-12-08,5.0,1200.0,1140.0,Marketing,Post-IPO,$115,2022,42.35843,-71.05977
56,Aqua Security,Massachusetts,Boston,65.0,2022-12-05,10.0,650.0,585.0,Security,Series E,$265,2022,42.35843,-71.05977
57,Salsify,Massachusetts,Boston,90.0,2022-11-16,11.0,818.0,728.0,Retail,Series F,$452,2022,42.35843,-71.05977
58,Pear Therapeutics,Massachusetts,Boston,59.0,2022-11-16,22.0,268.0,209.0,Healthcare,Post-IPO,$409,2022,42.35843,-71.05977
59,Pear Therapeutics,Massachusetts,Boston,59.0,2022-11-14,22.0,268.0,209.0,Healthcare,Post-IPO,$409,2022,42.35843,-71.05977
60,Repertoire Immu…,Massachusetts,Boston,65.0,2022-11-08,50.0,130.0,65.0,Healthcare,Series B,$257,2022,42.35843,-71.05977
61,Cybereason,Massachusetts,Boston,200.0,2022-10-26,17.0,1176.0,976.0,Security,Series F,$750,2022,42.35843,-71.05977
62,Snyk,Massachusetts,Boston,198.0,2022-10-24,14.0,1414.0,1216.0,Security,Series F,$849,2022,42.35843,-71.05977
63,Vesalius Therapeutics,Massachusetts,Boston,29.0,2022-09-19,43.0,67.0,38.0,Healthcare,Series B,$75,2022,42.35843,-71.05977
64,Rubius,Massachusetts,Boston,160.0,2022-09-13,75.0,213.0,53.0,Healthcare,Post-IPO,$445,2022,42.35843,-71.05977
65,TCR2,Massachusetts,Boston,30.0,2022-08-31,20.0,150.0,120.0,Healthcare,Post-IPO,$173,2022,42.35843,-71.05977
66,DataRobot,Massachusetts,Boston,242.0,2022-08-23,26.0,930.0,688.0,Data,Series G,$1000,2022,42.35843,-71.05977
67,Tufin,Massachusetts,Boston,55.0,2022-08-21,10.0,550.0,495.0,Security,Acquired,$21,2022,42.35843,-71.05977
69,Quanterix,Massachusetts,Boston,130.0,2022-08-09,25.0,520.0,390.0,Healthcare,Post-IPO,$533,2022,42.35843,-71.05977
70,iRobot,Massachusetts,Boston,140.0,2022-08-05,10.0,1400.0,1260.0,Consumer,Acquired,$30,2022,42.35843,-71.05977
71,Pear Therapeutics,Massachusetts,Boston,25.0,2022-07-25,9.0,278.0,253.0,Healthcare,Post-IPO,$409,2022,42.35843,-71.05977
72,WHOOP,Massachusetts,Boston,95.0,2022-07-21,15.0,633.0,538.0,Fitness,Series F,$404,2022,42.35843,-71.05977
73,Transmit Security,Massachusetts,Boston,27.0,2022-07-05,7.0,386.0,359.0,Security,Series A,$583,2022,42.35843,-71.05977
74,Aura,Massachusetts,Boston,70.0,2022-06-23,9.0,778.0,708.0,Security,Series F,$500,2022,42.35843,-71.05977
75,Superpedestrian,Massachusetts,Boston,35.0,2022-06-22,7.0,500.0,465.0,Transportation,Series C,$261,2022,42.35843,-71.05977
76,Notarize,Massachusetts,Boston,110.0,2022-06-15,25.0,440.0,330.0,Legal,Series D,$213,2022,42.35843,-71.05977
77,The Grommet,Massachusetts,Boston,40.0,2022-06-09,100.0,40.0,0.0,Retail,Acquired,$5,2022,42.35843,-71.05977
78,Preply,Massachusetts,Boston,26.0,2022-06-09,5.0,520.0,494.0,Education,Series C,$100,2022,42.35843,-71.05977
79,Cybereason,Massachusetts,Boston,100.0,2022-06-01,6.0,1667.0,1567.0,Security,Series F,$750,2022,42.35843,-71.05977
80,DataRobot,Massachusetts,Boston,70.0,2022-05-11,7.0,1000.0,930.0,Data,Series G,$1000,2022,42.35843,-71.05977
81,Flywire,Massachusetts,Boston,60.0,2020-05-07,12.0,500.0,440.0,Finance,Series E,$263,2020,42.35843,-71.05977
82,Workable,Massachusetts,Boston,25.0,2020-05-05,10.0,250.0,225.0,Recruiting,Series C,$84,2020,42.35843,-71.05977
83,TripAdvisor,Massachusetts,Boston,900.0,2020-04-28,25.0,3600.0,2700.0,Travel,Post-IPO,$3,2020,42.35843,-71.05977
84,Tor,Massachusetts,Boston,13.0,2020-04-17,37.0,35.0,22.0,Security,Unknown,$1,2020,42.35843,-71.05977
85,CarGurus,Massachusetts,Boston,130.0,2020-04-16,13.0,1000.0,870.0,Transportation,Post-IPO,$1,2020,42.35843,-71.05977
