company,location,industry,total_laid_off,date,stage,state,state_name
EasyPost,Salt Lake City,Logistics,75,11/03/20,Series A,UT,Utah
Tamara Mellon,Los Angeles,Retail,20,12/03/20,Series C,CA,California
HopSkipDrive,Los Angeles,Transportation,8,13/03/20,Unknown,CA,California
Panda Squad,SF Bay Area,Consumer,6,13/03/20,Seed,CA,California
Service,Los Angeles,Travel,265,16/03/20,Seed,CA,California
Inspirato,Denver,Travel,130,16/03/20,Series C,CO,Colorado
Help.com,Austin,Support,16,16/03/20,Seed,TX,Texas
Flytedesk,Boulder,Marketing,4,18/03/20,Seed,CO,Colorado
Tuft & Needle,Phoenix,Retail,603,19/03/20,Acquired,AZ,Arizona
Ejento,SF Bay Area,Recruiting,84,19/03/20,Unknown,CA,California
Remote Year,Chicago,Travel,50,19/03/20,Series B,IL,Illinois
Lola,Boston,Travel,34,19/03/20,Series C,MA,Massachusetts
Popin,New York City,Fitness,473,19/03/20,Unknown,NY,New York
Service,Los Angeles,Travel,265,20/03/20,Seed,CA,California
Flywheel Sports,New York City,Fitness,784,20/03/20,Acquired,NY,New York
Vacasa,Portland,Travel,265,20/03/20,Series C,OR,Oregon
Yonder,Austin,Media,18,20/03/20,Series A,TX,Texas
Peek,Salt Lake City,Travel,45,20/03/20,Series B,UT,Utah
GrayMeta,Los Angeles,Data,20,23/03/20,Unknown,CA,California
Triplebyte,SF Bay Area,Recruiting,15,23/03/20,Series B,CA,California
Ladder Life,SF Bay Area,Finance,13,23/03/20,Series C,CA,California
Cabin,SF Bay Area,Travel,265,23/03/20,Seed,CA,California
Zwift,Los Angeles,Fitness,473,23/03/20,Series B,CA,California
Compass,New York City,Real Estate,375,23/03/20,Series G,NY,New York
Convene,New York City,Real Estate,150,23/03/20,Series D,NY,New York
Eight Sleep,New York City,Retail,603,23/03/20,Series C,NY,New York
The Guild,Austin,Travel,38,23/03/20,Series B,TX,Texas
Drip,Salt Lake City,Marketing,20,23/03/20,Acquired,UT,Utah
Leafly,Seattle,Retail,91,23/03/20,Acquired,WA,Washington
Sonder,SF Bay Area,Travel,400,24/03/20,Series D,CA,California
Zeus Living,SF Bay Area,Real Estate,80,24/03/20,Series B,CA,California
TravelBank,SF Bay Area,Travel,20,24/03/20,Series B,CA,California
Peerfit,Tampa Bay,HR,146,24/03/20,Unknown,FL,Florida
SpotHero,Chicago,Transportation,358,24/03/20,Series D,IL,Illinois
Foodsby,Minneapolis,Food,87,24/03/20,Series B,MN,Minnesota
Takl,Nashville,Consumer,130,24/03/20,Unknown,TN,Tennessee
TripActions,SF Bay Area,Travel,300,25/03/20,Series D,CA,California
Lyric,SF Bay Area,Real Estate,100,25/03/20,Series B,CA,California
O'Reilly Media,SF Bay Area,Media,75,25/03/20,Unknown,CA,California
WanderJaunt,SF Bay Area,Travel,56,25/03/20,Series B,CA,California
Wonderschool,SF Bay Area,Education,50,25/03/20,Series A,CA,California
Element Analytics,SF Bay Area,Data,10,25/03/20,Series A,CA,California
Clutter,Los Angeles,Consumer,788,25/03/20,Series D,CA,California
Divvy Homes,SF Bay Area,Real Estate,260,25/03/20,Series B,CA,California
Clever Real Estate,St. Louis,Real Estate,260,25/03/20,Series A,MO,Missouri
Overtime,New York City,Media,30,25/03/20,Series B,NY,New York
Universal Standard,New York City,Retail,603,25/03/20,Series A,NY,New York
Jama,Portland,Product,12,25/03/20,Unknown,OR,Oregon
OutboundEngine,Austin,Marketing,52,25/03/20,Series C,TX,Texas
B8ta,SF Bay Area,Retail,250,26/03/20,Series C,CA,California
Peerspace,SF Bay Area,Real Estate,41,26/03/20,Series B,CA,California
Consider.co,SF Bay Area,Other,13,26/03/20,Seed,CA,California
Nativo,Los Angeles,Marketing,83,26/03/20,Series B,CA,California
GoSpotCheck,Denver,Retail,23,26/03/20,Series B,CO,Colorado
Passport,Charlotte,Transportation,44,26/03/20,Series D,NC,North Carolina
Puppet,Portland,Infrastructure,50,26/03/20,Series F,OR,Oregon
Bird,Los Angeles,Transportation,406,27/03/20,Series D,CA,California
Everlane,SF Bay Area,Retail,227,27/03/20,Unknown,CA,California
Restaurant365,Los Angeles,Food,175,27/03/20,Series C,CA,California
Getaround,SF Bay Area,Transportation,100,27/03/20,Series D,CA,California
Raken,San Diego,Construction,60,27/03/20,Series A,CA,California
Oh My Green,SF Bay Area,Food,40,27/03/20,Seed,CA,California
Make School,SF Bay Area,Education,69,27/03/20,Unknown,CA,California
DataRobot,Boston,Data,200,27/03/20,Series E,MA,Massachusetts
Zipcar,Boston,Transportation,100,27/03/20,Acquired,MA,Massachusetts
Bevi,Boston,Food,30,27/03/20,Series C,MA,Massachusetts
Blueground,New York City,Real Estate,130,27/03/20,Series B,NY,New York
Knotel,New York City,Real Estate,127,27/03/20,Series C,NY,New York
ThirdLove,New York City,Retail,10,27/03/20,Series B,NY,New York
Opal,Portland,Marketing,20,27/03/20,Series B,OR,Oregon
DISCO,Austin,Legal,75,27/03/20,Series E,TX,Texas
Pivot3,Austin,Infrastructure,280,27/03/20,Series H,TX,Texas
Textio,Seattle,Recruiting,30,27/03/20,Unknown,WA,Washington
WeWork,New York City,Real Estate,250,28/03/20,Series H,NY,New York
Rent the Runway,New York City,Retail,603,28/03/20,Series F,NY,New York
ZipRecruiter,Los Angeles,Recruiting,400,29/03/20,Series B,CA,California
Polarr,SF Bay Area,Consumer,10,29/03/20,Series A,CA,California
Amplero,Seattle,Marketing,17,29/03/20,Series B,WA,Washington
Thumbtack,SF Bay Area,Consumer,250,30/03/20,Series F,CA,California
PeerStreet,Los Angeles,Finance,51,30/03/20,Series C,CA,California
Blume Global,SF Bay Area,Logistics,30,30/03/20,Unknown,CA,California
Caliva,SF Bay Area,Retail,20,30/03/20,Series A,CA,California
Cuyana,SF Bay Area,Retail,603,30/03/20,Series C,CA,California
Catalant,Boston,Other,30,30/03/20,Series E,MA,Massachusetts
Loftsmart,New York City,Real Estate,25,30/03/20,Series A,NY,New York
Iris Nova,New York City,Food,9,30/03/20,Seed,NY,New York
RigUp,Austin,Energy,120,30/03/20,Series D,TX,Texas
Maven,Seattle,Media,31,30/03/20,Post-IPO,WA,Washington
KeepTruckin,SF Bay Area,Logistics,349,31/03/20,Series D,CA,California
Turo,SF Bay Area,Transportation,108,31/03/20,Series E,CA,California
SkySlope,Sacramento,Real Estate,50,31/03/20,Acquired,CA,California
AngelList,SF Bay Area,Recruiting,20,31/03/20,Series B,CA,California
DialSource,Sacramento,Marketing,5,31/03/20,Series B,CA,California
Adara,SF Bay Area,Travel,265,31/03/20,Series C,CA,California
Zerto,Boston,Infrastructure,280,31/03/20,Series E,MA,Massachusetts
Siteimprove,Minneapolis,Marketing,40,31/03/20,Unknown,MN,Minnesota
Domio,New York City,Travel,265,31/03/20,Series B,NY,New York
uShip,Austin,Logistics,65,31/03/20,Series D,TX,Texas
Kazoo,Austin,HR,146,31/03/20,Series A,TX,Texas
AdRoll,Salt Lake City,Marketing,210,31/03/20,Series C,UT,Utah
Claravine,Salt Lake City,Marketing,83,31/03/20,Seed,UT,Utah
Snap Finance,Salt Lake City,Finance,144,31/03/20,Unknown,UT,Utah
Rover,Seattle,Consumer,194,31/03/20,Series G,WA,Washington
Zenoti,Seattle,Fitness,17,31/03/20,Series C,WA,Washington
Booksy,SF Bay Area,Consumer,200,01/04/20,Series B,CA,California
PatientPop,Los Angeles,Healthcare,100,01/04/20,Series B,CA,California
Earnin,SF Bay Area,Finance,50,01/04/20,Series C,CA,California
Wonolo,SF Bay Area,Recruiting,46,01/04/20,Series C,CA,California
Incredible Health,SF Bay Area,Healthcare,9,01/04/20,Series A,CA,California
Currency,Los Angeles,Finance,144,01/04/20,Unknown,CA,California
GOAT Group,Los Angeles,Retail,603,01/04/20,Series D,CA,California
Le Tote,SF Bay Area,Retail,603,01/04/20,Series C,CA,California
Pana,Denver,Travel,18,01/04/20,Series A,CO,Colorado
Showpad,Chicago,Marketing,52,01/04/20,Series D,IL,Illinois
Levelset,New Orleans,Construction,555,01/04/20,Series C,LA,Louisiana
Crayon,Boston,Marketing,20,01/04/20,Series A,MA,Massachusetts
Pebblepost,New York City,Marketing,83,01/04/20,Series C,NY,New York
Moovel,Portland,Transportation,28,01/04/20,Unknown,OR,Oregon
WhyHotel,Washington D.C.,Travel,265,01/04/20,Series B,VA,Virginia
Usermind,Seattle,Marketing,15,01/04/20,Series C,WA,Washington
MindBody,San Luis Obispo,Fitness,700,02/04/20,Post-IPO,CA,California
Katerra,SF Bay Area,Construction,240,02/04/20,Series D,CA,California
ThirdLove,SF Bay Area,Retail,65,02/04/20,Series B,CA,California
Copper,SF Bay Area,Marketing,35,02/04/20,Series C,CA,California
Dynamic Signal,SF Bay Area,HR,35,02/04/20,Series E,CA,California
Sauce Labs,SF Bay Area,Infrastructure,30,02/04/20,Unknown,CA,California
Humu,SF Bay Area,HR,26,02/04/20,Series B,CA,California
Modsy,SF Bay Area,Retail,603,02/04/20,Series C,CA,California
Atlanta Tech Village,Atlanta,Real Estate,260,02/04/20,Unknown,GA,Georgia
The Predictive Index,Boston,HR,59,02/04/20,Acquired,MA,Massachusetts
Jobcase,Boston,Recruiting,39,02/04/20,Private Equity,MA,Massachusetts
ClassPass,New York City,Fitness,154,02/04/20,Series E,NY,New York
Industrious,New York City,Real Estate,90,02/04/20,Series D,NY,New York
1stdibs,New York City,Retail,70,02/04/20,Series D,NY,New York
Latch,New York City,Security,60,02/04/20,Series B,NY,New York
TripleLift,New York City,Marketing,23,02/04/20,Series B,NY,New York
Wonder,New York City,Other,403,02/04/20,Unknown,NY,New York
Synergysuite,Salt Lake City,Food,5,02/04/20,Series A,UT,Utah
